company,industry,total_laid_off,percentage_laid_off,date,country,stage,funds_raised_millions
TWITTER,Crypto,3468.0,,16-05-2023,United Kingdom,Post-IPO,1979.0
 IBM,Transportation,4701.0,0.12,08/11/2023,United States,Private Equity,1789.8
Snap,Hardware,2821.0,0.16,08-03-2022,United States,Post-IPO,1837.0
 Spotify,Transportation,5412.0,0.57,09/04/2023,India,nan,1258.6
 Stripe,Transportation,2823.0,0.51,17-08-2022,Sweden,Post-IPO,763.4
 Peloton,Retail,71.0,0.21,06/29/2022,USA,Series B,2634.8
Google,Finance,2132.0,0.43,06/13/2023,United States,Private Equity,1668.7
Microsoft,Finance,1156.0,0.1,05/16/2024,United States,Series B,1982.1
SPOTIFY,Finance,7708.0,0.42,2022-11-22,USA,Series C,2462.8
Twitter,Media,,0.35,2023-09-04,UK,Series D,1097.5
Amazon,Finance,400.0,0.08,02-08-2022,UK,Post-IPO,1969.9
Snap,Consumer,7924.0,0.51,2022-09-17,USA,Post-IPO,
GOOGLE,Other,2964.0,0.3,2022-03-05,United States,nan,65.7
STRIPE,Transportation,4583.0,0.4,06/26/2022,United States,nan,2139.0
SPOTIFY,Food,7014.0,0.56,19-03-2023,India,Series C,1242.7
Uber,Consumer,7989.0,0.32,10/27/2022,United States ,Post-IPO,1991.1
INTEL,Retail,2336.0,0.11,24-08-2023,USA,Post-IPO,2119.2
META,Crypto,3458.0,,09/24/2023,Germany,Series B,2520.5
IBM,Media,3032.0,0.45,19-05-2022,Sweden,Series C,984.3
UBER,Other,3332.0,,2023-06-01,Canada,Post-IPO,313.1
Shopify,Hardware,1964.0,0.08,06-01-2024,USA,Series C,681.7
GOOGLE,Food,4689.0,0.24,23-05-2024,India,Post-IPO,616.3
STRIPE,Retail,7883.0,,03-06-2022,India,Series C,1123.7
TWITTER,Transportation,7337.0,0.33,2022-10-13,Germany,Post-IPO,1324.2
Stripe,Healthcare,4452.0,0.46,2023-12-17,India,Post-IPO,2996.8
TWITTER,Consumer,,0.33,10/11/2023,UK,nan,2081.1
Snap,Hardware,,0.23,07-08-2023,United Kingdom,Series C,997.9
 Intel,Other,3620.0,0.39,10-09-2022,United Kingdom,Series C,1966.1
Netflix,Healthcare,1841.0,0.56,11/24/2022,Brazil,Post-IPO,1921.6
SHOPIFY,Other,108.0,0.13,12-09-2023,India,Series B,1304.7
AMAZON,Hardware,1973.0,0.28,2022-10-30,USA,Series B,643.3
 IBM,Healthcare,5580.0,0.08,14-03-2023,UK,Private Equity,2900.1
Google,Food,910.0,0.17,10-02-2023,Brazil,Series B,763.7
Meta,Other,6331.0,0.37,2023-12-07,India,Series D,267.3
META,Transportation,6234.0,0.22,03/20/2023,India,Series C,
 Twitter,Healthcare,4459.0,0.22,2022-04-10,Brazil,Series C,2858.7
 Snap,Media,4044.0,0.03,08/12/2023,United Kingdom,Post-IPO,1386.0
 Meta,Consumer,3706.0,0.46,16-03-2022,USA,Private Equity,2895.2
 Spotify,Healthcare,831.0,0.11,13-09-2022,Sweden,nan,1629.2
 Snap,Crypto,1391.0,,01/23/2024,India,nan,490.1
 Amazon,Transportation,4960.0,0.42,2024-03-22,Brazil,Post-IPO,1135.3
Meta,Healthcare,818.0,0.04,28-06-2022,Sweden,Private Equity,1481.9
Meta,Finance,1186.0,0.32,31-10-2023,India,Series D,
IBM,Food,7368.0,0.44,07/25/2023,India,Post-IPO,1636.8
AMAZON,Consumer,2450.0,0.47,10/25/2023,Brazil,Series B,906.6
 Snap,Crypto,6917.0,,23-03-2024,USA,Post-IPO,1335.3
 Netflix,Finance,4545.0,0.42,02/13/2024,UK,Post-IPO,
Google,Finance,5096.0,0.21,2023-07-30,USA,Series B,976.7
Peloton,Crypto,2460.0,0.48,2024-01-11,Brazil,Private Equity,1234.0
Google,Healthcare,7218.0,0.24,2023-06-12,Sweden,nan,2088.8
SHOPIFY,Finance,2398.0,0.43,12/02/2023,Canada,Series C,1716.0
SHOPIFY,Food,5933.0,0.25,07/13/2022,United States ,Post-IPO,700.7
IBM,Healthcare,,0.05,03-02-2022,Sweden,Private Equity,314.9
Twitter,Other,5951.0,0.46,2022-08-26,USA,Private Equity,2364.1
Twitter,Retail,182.0,0.2,2024-03-25,India,Post-IPO,1334.7
INTEL,Finance,5907.0,0.24,05/07/2023,Brazil,Series B,450.3
PELOTON,Other,1954.0,0.37,19-08-2023,USA,Series B,
 Microsoft,Crypto,5770.0,,2022-05-16,USA,Series D,1506.7
 Google,Food,5207.0,0.24,24-12-2022,UK,Series D,932.3
 Google,Transportation,67.0,,23-03-2024,Canada,Post-IPO,899.7
Meta,Food,7807.0,0.21,2023-06-22,United States ,Series C,
Shopify,Retail,4668.0,0.03,20-02-2024,Germany,Post-IPO,
 Intel,Finance,113.0,0.51,02-05-2022,Canada,Post-IPO,
 IBM,Crypto,6474.0,0.04,04/02/2023,Canada,Post-IPO,1802.1
IBM,Other,2922.0,0.41,24-03-2022,United States,Series D,1972.6
Stripe,Hardware,7264.0,,28-11-2022,USA,Post-IPO,
PELOTON,Crypto,4160.0,0.11,2022-01-10,UK,Series C,1662.0
 Google,Retail,4873.0,0.03,08/06/2022,United Kingdom,Private Equity,2146.1
 Twitter,Healthcare,78.0,0.06,28-05-2024,United States ,Post-IPO,1722.0
 Netflix,Healthcare,1216.0,0.48,2024-06-13,USA,Series B,1659.3
 Salesforce,Hardware,1624.0,0.53,09/16/2023,UK,Series C,1508.7
SHOPIFY,Crypto,5504.0,0.28,21-11-2023,UK,Series B,1466.4
IBM,Consumer,551.0,0.14,05/08/2022,Brazil,Series B,928.2
Google,Consumer,1965.0,0.06,05/26/2022,India,Series D,1037.0
Twitter,Transportation,112.0,,2023-05-31,United States ,Private Equity,
AMAZON,Media,2951.0,0.05,31-05-2023,USA,Post-IPO,1610.2
Spotify,Transportation,6878.0,,2024-03-05,United States ,Series B,
 Netflix,Other,3652.0,0.53,2022-05-14,Canada,Post-IPO,2887.8
 Meta,Food,7122.0,,2023-10-29,USA,Series C,2873.6
Amazon,Other,4712.0,0.33,05-05-2024,Sweden,nan,2407.2
NETFLIX,Consumer,6584.0,0.32,2022-02-06,United States,Post-IPO,863.6
 Meta,Food,3751.0,0.53,11/25/2023,UK,Post-IPO,2828.5
 IBM,Transportation,6899.0,,31-07-2022,Sweden,Post-IPO,780.2
Netflix,Consumer,7025.0,,2022-08-29,Canada,Post-IPO,2254.7
Netflix,Consumer,4872.0,0.29,2022-08-02,United Kingdom,nan,795.0
 Peloton,Consumer,5745.0,0.05,09/02/2023,Sweden,Series B,
 Netflix,Healthcare,2753.0,0.16,17-04-2023,Brazil,Post-IPO,2748.0
 Peloton,Hardware,7653.0,0.05,2023-12-23,Canada,Series D,
 Stripe,Transportation,824.0,0.22,20-12-2022,Germany,Post-IPO,1714.7
SALESFORCE,Transportation,2771.0,0.36,2024-04-16,United Kingdom,Private Equity,
IBM,Food,6235.0,0.16,2024-03-14,United States,Post-IPO,1481.7
META,Crypto,5149.0,0.49,2022-02-06,Canada,Series B,2370.0
META,Finance,5747.0,0.32,14-08-2023,United States ,Series C,2893.7
Shopify,Finance,3243.0,0.24,2022-04-05,Canada,Series B,360.7
 Stripe,Food,2405.0,0.27,06/01/2024,Canada,Series B,451.5
 Uber,Hardware,4695.0,0.58,01-08-2023,Brazil,Post-IPO,
SHOPIFY,Healthcare,,0.55,2022-09-07,USA,Post-IPO,948.1
PELOTON,Retail,1049.0,0.26,2023-11-07,India,Post-IPO,1177.2
Netflix,Media,3533.0,0.57,2023-06-12,USA,Post-IPO,2804.6
 Netflix,Hardware,3319.0,0.22,04-06-2023,Sweden,Series B,1217.8
Intel,Retail,5181.0,0.07,10-12-2022,Germany,nan,
 Amazon,Retail,6193.0,0.33,11-12-2022,United States,Post-IPO,1302.5
Intel,Hardware,3230.0,0.17,20-06-2023,Sweden,Series C,1004.8
GOOGLE,Hardware,3216.0,0.35,2024-03-29,United Kingdom,Series D,1434.7
TWITTER,Food,5288.0,0.39,12-03-2022,United States ,Post-IPO,1598.3
Spotify,Retail,2431.0,0.37,2022-08-18,Germany,Post-IPO,282.4
SPOTIFY,Other,4741.0,0.11,05-06-2024,Sweden,nan,
 Amazon,Healthcare,3647.0,0.57,2022-07-23,Canada,Post-IPO,
TWITTER,Retail,,,2023-01-05,UK,Private Equity,1798.6
 Intel,Hardware,6665.0,0.27,01/15/2024,United Kingdom,Private Equity,755.2
PELOTON,Other,2288.0,0.44,11-11-2022,UK,Private Equity,78.1
Microsoft,Hardware,5481.0,0.05,12/24/2023,India,Private Equity,2763.0
AMAZON,Other,2085.0,0.48,19-03-2024,Brazil,Series D,2815.6
TWITTER,Transportation,921.0,0.43,2022-01-07,Canada,Post-IPO,
 Uber,Hardware,6210.0,0.06,14-03-2024,Brazil,nan,2992.7
Stripe,Healthcare,1644.0,0.4,05-02-2023,Germany,Post-IPO,
Intel,Finance,2022.0,0.05,07/29/2022,United States ,Series D,
Salesforce,Media,1989.0,0.14,14-04-2023,United States,nan,2034.9
Twitter,Crypto,3831.0,0.18,09/13/2022,United Kingdom,Post-IPO,2380.6
Uber,Transportation,5005.0,0.5,2022-05-17,United States,Post-IPO,1884.8
STRIPE,Food,,0.54,2022-05-24,UK,Series B,2107.8
TWITTER,Media,7016.0,0.28,2023-07-03,Sweden,Post-IPO,57.0
Netflix,Finance,2956.0,0.48,01/15/2024,UK,Post-IPO,2687.7
NETFLIX,Hardware,5852.0,0.51,08/26/2023,Brazil,Post-IPO,1907.2
 Salesforce,Media,,0.42,13-01-2023,United States ,nan,2237.2
 Snap,Healthcare,695.0,0.49,10/28/2022,Canada,nan,2870.7
 Stripe,Other,2549.0,0.18,2022-04-14,United States ,Post-IPO,2125.0
META,Food,5457.0,0.52,08-09-2023,India,Series D,
Shopify,Retail,140.0,0.38,03/13/2023,United Kingdom,nan,2904.3
 Uber,Transportation,3255.0,0.11,2023-06-23,UK,Series C,2503.0
IBM,Hardware,7773.0,0.2,13-08-2023,United Kingdom,nan,2949.7
TWITTER,Media,5150.0,0.25,2023-01-10,Sweden,Post-IPO,1151.1
 Intel,Crypto,,0.24,08/10/2022,Sweden,Post-IPO,1672.3
SHOPIFY,Finance,6686.0,0.54,27-04-2022,Brazil,Series C,388.2
Snap,Food,7024.0,0.53,2023-06-24,United States ,Post-IPO,1296.4
 Microsoft,Retail,3062.0,0.16,05/03/2022,Sweden,Series C,190.1
Stripe,Crypto,3828.0,0.37,09-04-2024,United States,Series C,1552.7
 Stripe,Other,3252.0,0.17,11-01-2022,UK,Private Equity,379.6
 Uber,Retail,2467.0,0.08,01/15/2024,UK,Private Equity,2398.9
 Uber,Crypto,3730.0,,20-02-2023,USA,Private Equity,1823.0
Stripe,Healthcare,1644.0,0.4,05-02-2023,Germany,Post-IPO,
TWITTER,Media,7016.0,0.28,2023-07-03,Sweden,Post-IPO,57.0
Uber,Healthcare,930.0,0.34,18-04-2022,UK,Series D,120.9
INTEL,Media,6981.0,0.49,2024-01-23,USA,Post-IPO,966.6
 Shopify,Food,989.0,0.56,2024-05-15,USA,Private Equity,
Amazon,Other,6570.0,0.14,11/08/2023,Sweden,Series B,2249.2
Meta,Finance,2036.0,0.34,2022-09-14,UK,Series B,316.9
Google,Hardware,,0.37,02/18/2022,Brazil,Post-IPO,
TWITTER,Hardware,1973.0,0.1,2022-06-08,United States,nan,1944.5
AMAZON,Other,109.0,0.55,20-08-2023,Sweden,Post-IPO,694.4
Google,Food,,0.14,2023-01-07,United Kingdom,Post-IPO,
